K,Trajectory,Method,Metric,Value
330,0,ANI-2,Approximate Entropy,0.052818
330,0,ANI-2,Lyapunov Exponent,0.462115
330,0,ANI-4,Correlation Dimension,1.998955
330,0,ANI-4,Approximate Entropy,0.045769
330,0,ANI-4,Lyapunov Exponent,0.465383
340,0,Reference,Correlation Dimension,1.982775
340,0,Reference,Approximate Entropy,0.045435
340,0,Reference,Lyapunov Exponent,0.409357
340,0,Baseline,Correlation Dimension,1.976573
340,0,Baseline,Approximate Entropy,0.050637
340,0,Baseline,Lyapunov Exponent,0.356874
340,0,ANI-2,Correlation Dimension,1.998658
340,0,ANI-2,Approximate Entropy,0.050736
340,0,ANI-2,Lyapunov Exponent,0.288979
340,0,ANI-4,Correlation Dimension,1.968467
340,0,ANI-4,Approximate Entropy,0.047144
340,0,ANI-4,Lyapunov Exponent,0.422696
350,0,Reference,Correlation Dimension,2.004028
350,0,Reference,Approximate Entropy,0.049267
350,0,Reference,Lyapunov Exponent,0.417673
350,0,Baseline,Correlation Dimension,2.725562
350,0,Baseline,Approximate Entropy,0.051368
350,0,Baseline,Lyapunov Exponent,0.422476
350,0,ANI-2,Correlation Dimension,1.970699
350,0,ANI-2,Approximate Entropy,0.052141
350,0,ANI-2,Lyapunov Exponent,0.410761
350,0,ANI-4,Correlation Dimension,2.995862
350,0,ANI-4,Approximate Entropy,0.049589
350,0,ANI-4,Lyapunov Exponent,0.396782
360,0,Reference,Correlation Dimension,2.729199
360,0,Reference,Approximate Entropy,0.051377
360,0,Reference,Lyapunov Exponent,0.444536
360,0,Baseline,Correlation Dimension,2.580026
360,0,Baseline,Approximate Entropy,0.048950
360,0,Baseline,Lyapunov Exponent,0.393547
360,0,ANI-2,Correlation Dimension,2.727420
360,0,ANI-2,Approximate Entropy,0.052872
360,0,ANI-2,Lyapunov Exponent,0.431131
360,0,ANI-4,Correlation Dimension,2.600179
360,0,ANI-4,Approximate Entropy,0.053844
360,0,ANI-4,Lyapunov Exponent,0.447690
370,0,Reference,Correlation Dimension,2.489913
370,0,Reference,Approximate Entropy,0.052511
370,0,Reference,Lyapunov Exponent,0.536367
370,0,Baseline,Correlation Dimension,2.400277
370,0,Baseline,Approximate Entropy,0.051318
370,0,Baseline,Lyapunov Exponent,0.462136
370,0,ANI-2,Correlation Dimension,2.737674
370,0,ANI-2,Approximate Entropy,0.054430
370,0,ANI-2,Lyapunov Exponent,0.478036
370,0,ANI-4,Correlation Dimension,2.513154
370,0,ANI-4,Approximate Entropy,0.049657
370,0,ANI-4,Lyapunov Exponent,0.436556
380,0,Reference,Correlation Dimension,2.490595
380,0,Reference,Approximate Entropy,0.057101
380,0,Reference,Lyapunov Exponent,0.364641
380,0,Baseline,Correlation Dimension,2.405531
380,0,Baseline,Approximate Entropy,0.057147
380,0,Baseline,Lyapunov Exponent,0.408107
380,0,ANI-2,Correlation Dimension,2.584964
380,0,ANI-2,Approximate Entropy,0.057285
380,0,ANI-2,Lyapunov Exponent,0.409460
380,0,ANI-4,Correlation Dimension,2.378975
380,0,ANI-4,Approximate Entropy,0.052265
380,0,ANI-4,Lyapunov Exponent,0.508620
390,0,Reference,Correlation Dimension,2.508029
390,0,Reference,Approximate Entropy,0.055459
390,0,Reference,Lyapunov Exponent,0.450956
390,0,Baseline,Correlation Dimension,2.430547
390,0,Baseline,Approximate Entropy,0.060757
390,0,Baseline,Lyapunov Exponent,0.436303
390,0,ANI-2,Correlation Dimension,2.502477
390,0,ANI-2,Approximate Entropy,0.065050
390,0,ANI-2,Lyapunov Exponent,0.409884
390,0,ANI-4,Correlation Dimension,2.384981
390,0,ANI-4,Approximate Entropy,0.056099
390,0,ANI-4,Lyapunov Exponent,0.337852
400,0,Reference,Correlation Dimension,2.375033
400,0,Reference,Approximate Entropy,0.056114
400,0,Reference,Lyapunov Exponent,0.417025
400,0,Baseline,Correlation Dimension,2.379220
400,0,Baseline,Approximate Entropy,0.061161
400,0,Baseline,Lyapunov Exponent,0.422081
400,0,ANI-2,Correlation Dimension,2.372700
400,0,ANI-2,Approximate Entropy,0.065459
400,0,ANI-2,Lyapunov Exponent,0.392927
400,0,ANI-4,Correlation Dimension,2.392479
400,0,ANI-4,Approximate Entropy,0.059769
400,0,ANI-4,Lyapunov Exponent,0.481017
410,0,Reference,Correlation Dimension,2.382297
410,0,Reference,Approximate Entropy,0.055955
410,0,Reference,Lyapunov Exponent,0.347433
410,0,Baseline,Correlation Dimension,2.324898
410,0,Baseline,Approximate Entropy,0.061883
410,0,Baseline,Lyapunov Exponent,0.361113
410,0,ANI-2,Correlation Dimension,2.381025
410,0,ANI-2,Approximate Entropy,0.065071
410,0,ANI-2,Lyapunov Exponent,0.324948
410,0,ANI-4,Correlation Dimension,2.400071
410,0,ANI-4,Approximate Entropy,0.059619
410,0,ANI-4,Lyapunov Exponent,0.454867
420,0,Reference,Correlation Dimension,2.388404
420,0,Reference,Approximate Entropy,0.056339
420,0,Reference,Lyapunov Exponent,0.375958
420,0,Baseline,Correlation Dimension,2.331602
420,0,Baseline,Approximate Entropy,0.061873
420,0,Baseline,Lyapunov Exponent,0.375690
420,0,ANI-2,Correlation Dimension,2.391366
420,0,ANI-2,Approximate Entropy,0.064468
420,0,ANI-2,Lyapunov Exponent,0.383581
420,0,ANI-4,Correlation Dimension,2.401166
420,0,ANI-4,Approximate Entropy,0.061073
420,0,ANI-4,Lyapunov Exponent,0.386598
430,0,Reference,Correlation Dimension,2.400539
430,0,Reference,Approximate Entropy,0.056891
430,0,Reference,Lyapunov Exponent,0.496644
430,0,Baseline,Correlation Dimension,2.341391
430,0,Baseline,Approximate Entropy,0.058083
430,0,Baseline,Lyapunov Exponent,0.489441
430,0,ANI-2,Correlation Dimension,2.405955
430,0,ANI-2,Approximate Entropy,0.063667
430,0,ANI-2,Lyapunov Exponent,0.478088
430,0,ANI-4,Correlation Dimension,2.406669
430,0,ANI-4,Approximate Entropy,0.059986
430,0,ANI-4,Lyapunov Exponent,0.454237
440,0,Reference,Correlation Dimension,2.410654
440,0,Reference,Approximate Entropy,0.056188
440,0,Reference,Lyapunov Exponent,0.572654
440,0,Baseline,Correlation Dimension,2.362237
440,0,Baseline,Approximate Entropy,0.057708
440,0,Baseline,Lyapunov Exponent,0.467517
440,0,ANI-2,Correlation Dimension,2.415104
440,0,ANI-2,Approximate Entropy,0.061885
440,0,ANI-2,Lyapunov Exponent,0.340287
440,0,ANI-4,Correlation Dimension,2.365668
440,0,ANI-4,Approximate Entropy,0.056144
440,0,ANI-4,Lyapunov Exponent,0.548243
450,0,Reference,Correlation Dimension,2.331719
450,0,Reference,Approximate Entropy,0.053068
450,0,Reference,Lyapunov Exponent,0.579094
450,0,Baseline,Correlation Dimension,2.387225
450,0,Baseline,Approximate Entropy,0.057290
450,0,Baseline,Lyapunov Exponent,0.592116
450,0,ANI-2,Correlation Dimension,2.426047
450,0,ANI-2,Approximate Entropy,0.061960
450,0,ANI-2,Lyapunov Exponent,0.554206
450,0,ANI-4,Correlation Dimension,2.333842
450,0,ANI-4,Approximate Entropy,0.053964
450,0,ANI-4,Lyapunov Exponent,0.581710
460,0,Reference,Correlation Dimension,2.287791
460,0,Reference,Approximate Entropy,0.056999
460,0,Reference,Lyapunov Exponent,0.529840
460,0,Baseline,Correlation Dimension,2.229291
460,0,Baseline,Approximate Entropy,0.056940
460,0,Baseline,Lyapunov Exponent,0.585701
460,0,ANI-2,Correlation Dimension,2.381309
460,0,ANI-2,Approximate Entropy,0.061613
460,0,ANI-2,Lyapunov Exponent,0.494257
460,0,ANI-4,Correlation Dimension,2.292252
460,0,ANI-4,Approximate Entropy,0.055840
460,0,ANI-4,Lyapunov Exponent,0.574415
470,0,Reference,Correlation Dimension,2.330413
470,0,Reference,Approximate Entropy,0.057021
470,0,Reference,Lyapunov Exponent,0.504603
470,0,Baseline,Correlation Dimension,2.237436
470,0,Baseline,Approximate Entropy,0.059493
470,0,Baseline,Lyapunov Exponent,0.561162
470,0,ANI-2,Correlation Dimension,2.381157
470,0,ANI-2,Approximate Entropy,0.063896
470,0,ANI-2,Lyapunov Exponent,0.506179
470,0,ANI-4,Correlation Dimension,2.296035
470,0,ANI-4,Approximate Entropy,0.055613
470,0,ANI-4,Lyapunov Exponent,0.506927
480,0,Reference,Correlation Dimension,2.336068
480,0,Reference,Approximate Entropy,0.056826
480,0,Reference,Lyapunov Exponent,0.592968
480,0,Baseline,Correlation Dimension,2.239776
480,0,Baseline,Approximate Entropy,0.060569
480,0,Baseline,Lyapunov Exponent,0.612850
480,0,ANI-2,Correlation Dimension,2.391357
480,0,ANI-2,Approximate Entropy,0.065247
480,0,ANI-2,Lyapunov Exponent,0.554104
480,0,ANI-4,Correlation Dimension,2.344826
480,0,ANI-4,Approximate Entropy,0.054915
480,0,ANI-4,Lyapunov Exponent,0.491865
490,0,Reference,Correlation Dimension,2.332166
490,0,Reference,Approximate Entropy,0.061876
490,0,Reference,Lyapunov Exponent,0.685500
490,0,Baseline,Correlation Dimension,2.191747
490,0,Baseline,Approximate Entropy,0.059528
490,0,Baseline,Lyapunov Exponent,0.615201
490,0,ANI-2,Correlation Dimension,2.270195
490,0,ANI-2,Approximate Entropy,0.063221
490,0,ANI-2,Lyapunov Exponent,0.534474
490,0,ANI-4,Correlation Dimension,2.299239
490,0,ANI-4,Approximate Entropy,0.057903
490,0,ANI-4,Lyapunov Exponent,0.649154
500,0,Reference,Correlation Dimension,2.336461
500,0,Reference,Approximate Entropy,0.064629
500,0,Reference,Lyapunov Exponent,0.638641
500,0,Baseline,Correlation Dimension,2.198767
500,0,Baseline,Approximate Entropy,0.062250
500,0,Baseline,Lyapunov Exponent,0.591228
500,0,ANI-2,Correlation Dimension,2.273699
500,0,ANI-2,Approximate Entropy,0.063068
500,0,ANI-2,Lyapunov Exponent,0.504125
500,0,ANI-4,Correlation Dimension,2.304991
500,0,ANI-4,Approximate Entropy,0.058233
500,0,ANI-4,Lyapunov Exponent,0.680683
50,1,Reference,Correlation Dimension,2.096910
50,1,Reference,Approximate Entropy,0.014972
